,file_name,file_author,file_project_name,file_size,file_ctime,file_mtime,file_atime,file_path,file_count_time
0,0-姓名编号.xls,,,19456,1526267317.0298128,1526269047.926,1526268944.963806,Z:\12 备份,2018-05-18 11:03:45.056032
1,0-姓名编号.xls,姓名编号,,19456,1526269191.8534918,1526373692.163,1526373590.777139,Z:\12 备份\0-姓名编号,2018-05-18 11:03:45.067032
2,report_wuhesai_english1.pdf,吴何塞,,184492,1526547850.110515,1526547592.0,1526547850.110515,Z:\12 备份\11-吴何塞,2018-05-18 11:03:45.090034
3,《CRP分析仪厂家搜集》[GH010C-2008 血细胞CRP测量模块].xls,罗维,[GH010C-2008 血细胞CRP测量模块],836608,1526559820.1920257,1526559752.3,1526559820.1920257,Z:\12 备份\13-罗维,2018-05-18 11:03:45.112035
4,《CRP分析仪各厂家产品注册信息》[GH010C-2008 血细胞CRP测量模块].xls,罗维,[GH010C-2008 血细胞CRP测量模块],1025024,1526525214.6450388,1526523198.684,1526525214.6450388,Z:\12 备份\13-罗维,2018-05-18 11:03:45.118035
5,流式样机V0.2版矩形鞘流器测试实验报告[GH031A-2018荧光流式细胞仪研发].doc,罗维,[GH031A-2018荧光流式细胞仪研发],6295522,1526392244.9087882,1526391972.165,1526392244.9087882,Z:\12 备份\13-罗维,2018-05-18 11:03:45.124036
6,Gene_5390_V3.0.zip,莫秋全,,1464711,1526372684.607548,1525937294.5168004,1526372684.607548,Z:\12 备份\15-莫秋全\01 基因加注,2018-05-18 11:03:45.147037
7,Gene_5390_V4.0.zip,莫秋全,,1464717,1526372752.323806,1525946178.9248004,1526372752.323806,Z:\12 备份\15-莫秋全\01 基因加注,2018-05-18 11:03:45.153037
8,Gene_5390_V5.0.zip,莫秋全,,1495108,1526372818.5441856,1526372539.4653,1526372818.5441856,Z:\12 备份\15-莫秋全\01 基因加注,2018-05-18 11:03:45.160038
9,003-Cleaning.txt,莫秋全,,13413,1526471810.0121996,1526432252.9902005,1526471810.0121996,Z:\12 备份\15-莫秋全\01 基因加注\hclcode&协议,2018-05-18 11:03:45.172038
10,004-Cleaning.txt,莫秋全,,13413,1526471810.1472588,1526432260.4037006,1526471810.1472588,Z:\12 备份\15-莫秋全\01 基因加注\hclcode&协议,2018-05-18 11:03:45.179039
11,005-Reset.txt,莫秋全,,102,1526471811.1635556,1526432270.7242005,1526471811.1635556,Z:\12 备份\15-莫秋全\01 基因加注\hclcode&协议,2018-05-18 11:03:45.186039
12,006-stop.txt,莫秋全,,229,1526471811.348959,1526432280.8237004,1526471811.348959,Z:\12 备份\15-莫秋全\01 基因加注\hclcode&协议,2018-05-18 11:03:45.192039
13,1.txt,莫秋全,,13408,1526471811.5044155,1526433651.562,1526471811.5044155,Z:\12 备份\15-莫秋全\01 基因加注\hclcode&协议,2018-05-18 11:03:45.199040
14,2.txt,莫秋全,,8681,1526471812.495352,1526439534.235,1526471812.495352,Z:\12 备份\15-莫秋全\01 基因加注\hclcode&协议,2018-05-18 11:03:45.206040
15,基因加注装置下位机串口通讯协议V2.0.doc,莫秋全,,433586,1526471813.0902746,1526471589.196,1526471813.0902746,Z:\12 备份\15-莫秋全\01 基因加注\hclcode&协议,2018-05-18 11:03:45.213041
16,基因加注装置串口通讯协议V1.0.doc,莫秋全,,429302,1526471831.5574307,1526270457.294,1526471831.5574307,Z:\12 备份\15-莫秋全\01 基因加注\hclcode&协议,2018-05-18 11:03:45.219041
17,基因加注装置串口通讯协议V2.0.doc,莫秋全,,431490,1526471852.1874046,1526368528.208,1526471852.1874046,Z:\12 备份\15-莫秋全\01 基因加注\hclcode&协议,2018-05-18 11:03:45.225041
18,CRP模块液路原理图-分流程标记 by许北林 V1.0 2018-05-15.pdf,许北林,,566324,1526376537.496861,1526368316.463,1526376537.496861,Z:\12 备份\17-许北林,2018-05-18 11:03:45.242042
19,Thumbs.db,许北林,,19968,1526376569.2835333,1526376805.47,1526376569.2835333,Z:\12 备份\17-许北林,2018-05-18 11:03:45.248043
20,keilkilll.bat,许北林,,399,1526376618.9009333,1303525488.0,1526376618.9009333,Z:\12 备份\17-许北林\CRP-TemperControlBoard-xubeilin-2018-05-15-幼稚细胞温控板,2018-05-18 11:03:45.261043
21,readme.txt,许北林,,147,1526376619.0259378,1462333084.0,1526376619.0259378,Z:\12 备份\17-许北林\CRP-TemperControlBoard-xubeilin-2018-05-15-幼稚细胞温控板,2018-05-18 11:03:45.267044
22,core_cm4.h,许北林,,109142,1526376619.2603002,1363658204.0,1526376619.2603002,Z:\12 备份\17-许北林\CRP-TemperControlBoard-xubeilin-2018-05-15-幼稚细胞温控板\CMSIS,2018-05-18 11:03:45.279044
23,core_cmInstr.h,许北林,,20513,1526376624.46069,1363658204.0,1526376624.46069,Z:\12 备份\17-许北林\CRP-TemperControlBoard-xubeilin-2018-05-15-幼稚细胞温控板\CMSIS,2018-05-18 11:03:45.284045
24,readme.txt,许北林,,147,1526376625.4450724,1462333084.0,1526376625.4450724,Z:\12 备份\17-许北林\CRP-TemperControlBoard-xubeilin-2018-05-15-幼稚细胞温控板\CMSIS,2018-05-18 11:03:45.290045
