,file_name,file_author,file_project_name,file_size,file_ctime,file_mtime,file_atime,file_path,file_count_time
0,0-姓名编号.xls,,,19456,1526267317.0298128,1526269047.926,1526268944.963806,Z:\12 备份,2018-05-18 17:35:14.958287
1,0-姓名编号.xls,姓名编号,,19456,1526269191.8534918,1526373692.163,1526373590.777139,Z:\12 备份\0-姓名编号,2018-05-18 17:35:14.969287
2,report_wuhesai_english1.pdf,吴何塞,,184492,1526547850.110515,1526547592.0,1526547850.110515,Z:\12 备份\11-吴何塞,2018-05-18 17:35:14.992289
3,Altera_ADFIFO_20180518-ZQY.pcb,钟其原,,5108490,1526628787.8424094,1526625446.066,1526628787.8424094,Z:\12 备份\12-钟其原\20180518,2018-05-18 17:35:15.009289
4,Altera_ADFIFO_20180518-ZQY.sch,钟其原,,1117665,1526629011.271896,1526628632.789,1526629011.271896,Z:\12 备份\12-钟其原\20180518,2018-05-18 17:35:15.014290
5,《CRP分析仪厂家搜集》[GH010C-2008 血细胞CRP测量模块].xls,罗维,[GH010C-2008 血细胞CRP测量模块],836608,1526559820.1920257,1526559752.3,1526559820.1920257,Z:\12 备份\13-罗维,2018-05-18 17:35:15.027291
6,《CRP分析仪各厂家产品注册信息》[GH010C-2008 血细胞CRP测量模块].xls,罗维,[GH010C-2008 血细胞CRP测量模块],1025024,1526525214.6450388,1526523198.684,1526525214.6450388,Z:\12 备份\13-罗维,2018-05-18 17:35:15.033291
7,流式样机V0.2版矩形鞘流器测试实验报告[GH031A-2018荧光流式细胞仪研发].doc,罗维,[GH031A-2018荧光流式细胞仪研发],6295522,1526392244.9087882,1526391972.165,1526392244.9087882,Z:\12 备份\13-罗维,2018-05-18 17:35:15.039291
8,Gene_5390_V3.0.zip,莫秋全,,1464711,1526372684.607548,1525937294.5168004,1526372684.607548,Z:\12 备份\15-莫秋全\01 基因加注,2018-05-18 17:35:15.064293
9,Gene_5390_V4.0.zip,莫秋全,,1464717,1526372752.323806,1525946178.9248004,1526372752.323806,Z:\12 备份\15-莫秋全\01 基因加注,2018-05-18 17:35:15.071293
10,Gene_5390_V5.0.zip,莫秋全,,1495108,1526372818.5441856,1526372539.4653,1526372818.5441856,Z:\12 备份\15-莫秋全\01 基因加注,2018-05-18 17:35:15.077293
11,003-Cleaning.txt,莫秋全,,13413,1526471810.0121996,1526432252.9902005,1526471810.0121996,Z:\12 备份\15-莫秋全\01 基因加注\hclcode&协议,2018-05-18 17:35:15.090294
12,004-Cleaning.txt,莫秋全,,13413,1526471810.1472588,1526432260.4037006,1526471810.1472588,Z:\12 备份\15-莫秋全\01 基因加注\hclcode&协议,2018-05-18 17:35:15.096294
13,005-Reset.txt,莫秋全,,102,1526471811.1635556,1526432270.7242005,1526471811.1635556,Z:\12 备份\15-莫秋全\01 基因加注\hclcode&协议,2018-05-18 17:35:15.101295
14,006-stop.txt,莫秋全,,229,1526471811.348959,1526432280.8237004,1526471811.348959,Z:\12 备份\15-莫秋全\01 基因加注\hclcode&协议,2018-05-18 17:35:15.107295
15,1.txt,莫秋全,,13408,1526471811.5044155,1526433651.562,1526471811.5044155,Z:\12 备份\15-莫秋全\01 基因加注\hclcode&协议,2018-05-18 17:35:15.112295
16,2.txt,莫秋全,,8681,1526471812.495352,1526439534.235,1526471812.495352,Z:\12 备份\15-莫秋全\01 基因加注\hclcode&协议,2018-05-18 17:35:15.117296
